Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Neighborhoods (old),Zip Codes,Fire Prevention Districts,Police Districts,Supervisor Districts
Convent Of The Sacred Heart High School,Private,9,12,9-12,Independent / Private,IND231,14,17,IND,38684786939540,"2222 BROADWAY ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.794918, -122.434059)",27,29490,13,9,1
Marshall Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS072,5,10,PS,38684786041412,"1575 15TH ST, San Francisco, CA 94103",9,06075,SAN FRANCISCO,"CA
(37.766289, -122.419022)",19,28853,8,4,7
Chinese American International School,Private,0,8,K-8,Independent / Private,IND227,5,13,IND,38684787021116,"150 OAK ST, SAN FRANCISCO, CA 94102",5,06075,SAN FRANCISCO,"CA
(37.775429, -122.422424)",10,28852,7,9,11
Sacred Heart Cathedral Preparatory,Private,9,12,9-12,Independent / Private,IND287,14,17,IND,38684786939748,"1055 ELLIS ST, SAN FRANCISCO, CA 94109",5,06075,SAN FRANCISCO,"CA
(37.783287, -122.423187)",41,28858,7,9,11
Kzv Armenian School - Krouzian Zekarian Armenian School,Private,-2,8,PK-8,Independent / Private,IND259,3,13,IND,38684786913123,"825 BROTHERHOOD WAY, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.713841, -122.478317)",14,64,1,8,4
San Francisco Friends School,Private,0,8,K-8,Independent / Private,IND316,5,13,IND,38684786204762,"250 VALENCIA ST, SAN FRANCISCO, CA 94103",8,06075,SAN FRANCISCO,"CA
(37.768978, -122.422905)",19,28853,8,4,5
Saint John Catholic School,Private,0,8,K-8,Independent / Private,IND298,5,13,IND,38684786139893,"925 CHENERY ST, SAN FRANCISCO, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.734886, -122.43753)",7,63,2,7,5
San Francisco School,Private,0,8,K-8,Independent / Private,IND319,5,13,IND,38684786980726,"300 GAVEN ST, SAN FRANCISCO, CA 94134",9,06075,SAN FRANCISCO,"CA
(37.732781, -122.411697)",28,309,9,3,7
Cornerstone Academy,Private,-2,-1,PK,Independent / Private,CDC019,3,4,CDC,38684787086192,"1925 LAWTON ST, SAN FRANCISCO, CA 94134",4,06075,SAN FRANCISCO,"CA
(37.75742, -122.483665)",35,56,1,8,3
Room To Grow Preschool,Private,-2,-1,PK,Independent / Private,CDC128,3,4,CDC,384001473,"3786 MISSION ST, SAN FRANCISCO, CA 94110",8,06075,SAN FRANCISCO,"CA
(37.73621, -122.424728)",2,28859,2,7,5
Grace Cathederal Community Preschool,Private,-2,-1,PK,Independent / Private,CDC048,3,4,CDC,,"1100 CALIFORNIA ST, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.792183, -122.413597)",21,28857,5,1,10
Youth Chance High School,Private,9,12,9-12,Independent / Private,IND339,14,17,IND,38684786204242,"169 STEUART ST, SAN FRANCISCO, CA 94105",6,06075,SAN FRANCISCO,"CA
(37.792519, -122.392021)",6,28855,12,2,9
Nihonmachi Little Friends - After School Program,Private,-2,-1,PK,Independent / Private,CDC112,3,4,CDC,380504889,"1700 SUTTER ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.786919, -122.428688)",27,29490,13,9,11
Presidio Preschool,Private,-2,-1,PK,Independent / Private,CDC125,3,4,CDC,384002067,"143 CLEMENT ST, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.782864, -122.460831)",11,54,11,6,2
Crayon Box Preschool,Private,-2,-1,PK,Independent / Private,CDC021,3,4,CDC,384001502,"65 OCEAN AVE, SAN FRANCISCO, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.72329, -122.438774)",25,28861,9,7,6
Compass Clara House,Private,-2,-1,PK,Independent / Private,CDC016,3,4,CDC,384000989,"111 PAGE ST, SAN FRANCISCO, CA 94102",5,06075,SAN FRANCISCO,"CA
(37.773743, -122.423042)",10,28852,7,9,11
"Wallenberg, Raoul Wallenberg High School",SFUSD,9,12,9-12,USD Grades 9-12,PS120,14,17,PS,38684783830205,"40 VEGA ST, San Francisco, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.780647, -122.445953)",16,54,15,5,1
Little Footprints Preschool,Private,-2,-1,PK,Independent / Private,CDC077,3,4,CDC,384002156,"2201 VICENTE ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.738415, -122.4907)",35,29491,1,8,3
Hillwood Academic Day School,Private,1,8,1-8,Independent / Private,IND250,6,13,IND,38684786939607,"2521 SCOTT ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.793324, -122.440117)",27,29490,13,6,1
ABC Preschool,Private,-2,-1,PK,Independent / Private,CDC001,3,4,CDC,380506527,"426 33RD AVE, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.781139, -122.493042)",26,55,11,6,2
Saint Thomas The Apostle Elementary School,Private,0,8,K-8,Independent / Private,IND308,5,13,IND,38684786980668,"3801 BALBOA ST, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.775097, -122.499771)",26,55,11,6,2
Fairmount Elementary School / Preschool,SFUSD,-2,5,PK-5,USD PreK-5,PS030,3,10,PS,38684786040984,"65 CHENERY ST, San Francisco, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.740433, -122.425011)",7,63,2,7,5
"Wu Yee Child Development Center - Omi (Ocean View,Merced Heights,Ingleside)",Private,-2,-1,PK,Independent / Private,CDC164,3,4,CDC,384002513,"1111 JUNIPERO SERRA BLVD, SAN FRANCISCO, CA 94132",11,06075,SAN FRANCISCO,"CA
(37.717464, -122.47197)",24,64,9,8,6
"Yu, Alice Fong Yu Alternative School",SFUSD,0,8,K-8,USD Grades K-8,PS127,5,13,PS,38684786113245,"1541 12TH AVE, San Francisco, CA 94122",7,06075,SAN FRANCISCO,"CA
(37.758965, -122.469681)",12,56,1,8,4
Presidio Knolls School,Private,0,8,K-8,Independent / Private,IND284,5,13,IND,38684786144034,"250 10TH ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.77319, -122.413704)",34,28853,8,2,9
South Of Market Child Care - Judith Baker Child Development Center,Private,-2,-1,PK,Independent / Private,CDC136,3,4,CDC,384001365,"685 NATOMA ST, SAN FRANCISCO, CA 94103",6,06075,SAN FRANCISCO,"CA
(37.776806, -122.411476)",34,28853,8,2,9
Wah Mei School,Private,-2,-1,PK,Independent / Private,CDC154,3,4,CDC,380504314,"1400 JUDAH ST, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.76186, -122.477371)",35,56,1,8,3
Stretch The Imagination Child Care Center,Private,-2,-1,PK,Independent / Private,CDC140,3,4,CDC,384002029,"2509 BUSH ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.786095, -122.438888)",27,29490,15,6,1
C5 Childrens School - Sf City Building Center,Private,-2,-1,PK,Independent / Private,CDC008,3,4,CDC,384000654,"525 GOLDEN GATE AVE, SAN FRANCISCO, CA 94102",6,06075,SAN FRANCISCO,"CA
(37.781109, -122.418922)",36,28852,7,9,9
Saint Cecilia School,Private,0,8,K-8,Independent / Private,IND292,5,13,IND,38684786981690,"600 VICENTE ST, SAN FRANCISCO, CA 94116",7,06075,SAN FRANCISCO,"CA
(37.739872, -122.473602)",40,29491,1,8,4
Mission Dolores Academy,Private,0,8,K-8,Independent / Private,IND274,5,13,IND,38684786981716,"3399 16TH ST, SAN FRANCISCO, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.764122, -122.428284)",3,28862,8,4,5
Marin Day School - Hills Plaza,Private,-4,-2,INF,Independent / Private,CDC089,1,3,CDC,384001299,"2 HARRISON ST, STE 150, SAN FRANCISCO, CA 94105",6,06075,SAN FRANCISCO,"CA
(37.789803, -122.389755)",6,28855,6,2,9
Alt School - Alamo Square,Private,0,5,K-5,Independent / Private,IND201,5,10,IND,38684786148274,"735 FELL ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.774788, -122.430206)",10,29492,7,9,11
Jewish Community High School Of The Bay,Private,9,12,9-12,Independent / Private,IND253,14,17,IND,38684786200554,"1835 ELLIS ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.781651, -122.436676)",41,29490,15,5,11
South Of Market Child Care - Yerba Buena Gardens Child Development Center,Private,-2,-1,PK,Independent / Private,CDC137,3,4,CDC,384000406,"790 FOLSOM ST, SAN FRANCISCO, CA 94107",6,06075,SAN FRANCISCO,"CA
(37.783512, -122.40081)",34,28853,6,2,9
Cow Hollow Kindergarten,Private,-2,-1,PK,Independent / Private,CDC020,3,4,CDC,38684786918601,"65 FUNSTON AVE, SAN FRANCISCO, CA 94129",2,06075,SAN FRANCISCO,"CA
(37.799049, -122.455528)",30,61,11,,1
"Roosevelt, Theodore Roosevelt Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS098,11,13,PS,38684786059901,"460 ARGUELLO BLVD, San Francisco, CA 94118",2,06075,SAN FRANCISCO,"CA
(37.78228, -122.458351)",31,54,11,6,1
Pacific Primary - Orange Sun School,Private,-2,-1,PK,Independent / Private,CDC118,3,4,CDC,384001816,"1501 GROVE ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.775284, -122.441605)",16,29492,15,5,11
Gates And Bridges Preschool,Private,-2,-1,PK,Independent / Private,CDC042,3,4,CDC,380504276,"1601 10TH AVE, SAN FRANCISCO, CA 94112",7,06075,SAN FRANCISCO,"CA
(37.758255, -122.467148)",12,56,1,8,4
Downtown High School,SFUSD,9,12,9-12,USD Grades 9-12,PS025,14,17,PS,38684783830064,"693 VERMONT ST, San Francisco, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.761398, -122.403702)",29,28856,10,3,8
French American International School,Private,0,12,K-12,Independent / Private,IND243,5,17,IND,38684786981195,"150 OAK ST, SAN FRANCISCO, CA 94102",5,06075,SAN FRANCISCO,"CA
(37.775456, -122.421577)",10,28852,7,9,11
"Drew, Dr. Charles R. Drew Elementary / Early Education",SFUSD,-2,5,PK-5,USD PreK-5,PS026,3,10,PS,38684786104673,"50 POMONA ST, San Francisco, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.731796, -122.39389)",1,58,10,3,8
San Francisco International High School,SFUSD,9,12,9-12,USD Grades 9-12,PS101,14,17,PS,38684786149876,"1050 YORK ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.75523, -122.408859)",19,28859,2,4,7
Jefferson Out Of School (OST) Program,SFUSD,0,5,K-5,USD Grades K-5,PS052,5,10,PS,38684786041230,"1325 18TH AVE, SAN FRANCISCO CA 94122",4,06075,SAN FRANCISCO,"CA
(37.763062, -122.476318)",12,56,1,8,3
Saint James Preschool (Episcopal Church),Private,-2,-1,PK,Independent / Private,CDC130,3,4,CDC,380500619,"4620 CALIFORNIA ST, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.784939, -122.467201)",11,54,11,6,2
Maria Montessori School Of The Golden Gate,Private,-2,-1,PK,Independent / Private,CDC086,3,4,CDC,380506275,"62 LENOX WAY, SAN FRANCISCO, CA 94127",7,06075,SAN FRANCISCO,"CA
(37.7426, -122.46521)",40,59,1,8,4
Ucsf - Marilyn Reed Lucia Child Care Study Center,Private,-2,-1,PK,Independent / Private,CDC149,3,4,CDC,384002158,"610 PARNASSUS AVE, SAN FRANCISCO, CA 94143",5,06075,SAN FRANCISCO,"CA
(37.7631, -122.460121)",12,56,15,5,11
"King, Thomas Starr King Elementary / Preschool",SFUSD,-2,5,PK-5,"USD PreK, Grades K-5",PS056,3,10,PS,38684786041602,"1215 CAROLINA ST, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.753288, -122.399193)",29,28856,10,3,8
Jewish Community Center San Francisco - Brotherhood Way Preschool,Private,-2,-1,PK,Independent / Private,CDC056,3,4,CDC,380500086,"655 BROTHERHOOD WAY, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.713123, -122.475296)",14,64,1,8,4
Kids Kollege Preschool,Private,-2,-1,PK,Independent / Private,CDC067,3,4,CDC,380505246,"3939 LAWTON ST, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.756462, -122.505241)",35,56,1,8,3
"Lick, James Lick Middle School",SFUSD,6,8,6-8,USD Grades 6-8,PS063,11,13,PS,38684786062053,"1220 NOE ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.749363, -122.432785)",22,28862,2,4,5
Mission Neighborhood Centers - Bernal Dwellings Child Development,Private,-2,-1,PK,Independent / Private,CDC099,3,4,CDC,384001017,"3185 26TH ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.748848, -122.41262)",19,28859,2,4,7
El Dorado Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS028,5,10,PS,38684786040950,"70 DELTA ST, San Francisco, CA 94134",10,06075,SAN FRANCISCO,"CA
(37.718658, -122.407852)",18,309,9,7,8
Alt School - Yerba Buena,Private,-1,8,TK-8,Independent / Private,IND208,4,13,IND,,"300 04TH ST, SAN FRANCISCO, CA 94107",6,06075,SAN FRANCISCO,"CA
(37.781742, -122.401199)",34,28856,6,2,9
True Sunshine Preschool Center,Private,-2,-1,PK,Independent / Private,CDC148,3,4,CDC,380504311,"777 STOCKTON ST STE 201, SAN FRANCISCO, CA 94108",3,06075,SAN FRANCISCO,"CA
(37.792976, -122.407844)",4,28857,3,1,10
Pomeroy Recreation And Rehabilitation Center,Private,-2,12,PK-12,Independent / Private,IND282,3,17,IND,,"207 SKYLINE BLVD, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.729641, -122.501846)",14,64,1,8,4
Brightworks,Private,0,8,K-8,Independent / Private,IND222,5,13,IND,38684786142079,"1900 BRYANT ST, SAN FRANCISCO, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.762238, -122.410377)",19,28859,8,4,7
Proof School,Private,6,12,6-12,Independent / Private,IND285,11,17,IND,38684786150254,"555 POST ST, SAN FRANCISCO, CA 94102",3,06075,SAN FRANCISCO,"CA
(37.787655, -122.410942)",36,28852,5,1,10
Stuart Hall High School,Private,9,12,9-12,Independent / Private,IND330,14,17,IND,38684787104631,"1715 OCTAVIA ST, SAN FRANCISCO, CA 94109",5,06075,SAN FRANCISCO,"CA
(37.788628, -122.427238)",27,28858,13,9,11
Edison Charter K-8,SFUSD,0,8,K-8,USD Charter School,PS027,5,13,PS,38684786040935,"3531 22ND ST, San Francisco, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.754467, -122.426041)",22,28862,2,4,5
Mother Goose School,Private,-2,0,PK-K,Independent / Private,IND277,3,5,IND,380504982,"334 28TH AVE, SAN FRANCISCO, CA 94121",1,06075,SAN FRANCISCO,"CA
(37.783024, -122.487839)",26,55,11,6,2
Saint Vincent De Paul School,Private,-2,8,K-8,Independent / Private,IND309,3,13,IND,38684786980676,"2350 GREEN ST, SAN FRANCISCO, CA 94123",2,06075,SAN FRANCISCO,"CA
(37.796112, -122.437851)",17,57,13,9,1
Our Lady Of The Visitacion School,Private,0,8,K-8,Independent / Private,IND280,5,13,IND,38684786981559,"785 SUNNYDALE AVE, SAN FRANCISCO, CA 94134",10,06075,SAN FRANCISCO,"CA
(37.709122, -122.409546)",39,309,9,7,8
Gateway Middle School,SFUSD,-2,5,PK-5,USD Charter School; PreK-5,PS038,3,10,PS,38684780123265,"1512 GOLDEN GATE AVE, SAN FRANCISCO CA 94115",5,06075,SAN FRANCISCO,"CA
(37.779419, -122.435921)",41,29490,15,5,11
Cleveland Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS021,5,10,PS,38684786040836,"455 ATHENS ST, San Francisco, CA 94112",11,06075,SAN FRANCISCO,"CA
(37.720341, -122.429192)",5,28861,9,7,6
Holy Name Elementary School,Private,0,8,K-8,Independent / Private,IND251,5,13,IND,38684786981278,"1560 40TH AVE, SAN FRANCISCO, CA 94122",4,06075,SAN FRANCISCO,"CA
(37.75761, -122.498878)",35,56,1,8,3
Drew School,Private,9,12,9-12,Independent / Private,IND237,14,17,IND,38684786939557,"2901 CALIFORNIA ST, SAN FRANCISCO, CA 94115",2,06075,SAN FRANCISCO,"CA
(37.787643, -122.442322)",27,29490,13,6,1
"Asawa, Ruth Asawa San Francisco School Of The Arts

 / Academy Of Arts And Sciences",SFUSD,9,12,9-12,USD Grades 9-12,PS006,14,17,PS,38684783830387,"555 PORTOLA DR, SAN FRANCISCO CA, 94131",8,06075,SAN FRANCISCO,"CA
(37.745316, -122.44883)",7,63,2,7,5
Kai Ming Head Start - Saint Luke Center,Private,-2,-1,PK,Independent / Private,CDC063,3,4,CDC,384002582,"1755 CLAY ST, SAN FRANCISCO, CA 94109",3,06075,SAN FRANCISCO,"CA
(37.792061, -122.42215)",21,28858,13,9,10
Peekadoodle Of San Francisco,Private,-2,-1,PK,Independent / Private,CDC120,3,4,CDC,384002261,"900 NORTH POINT ST STE F100, SAN FRANCISCO, CA 94109",2,06075,SAN FRANCISCO,"CA
(37.805534, -122.423187)",32,28858,5,1,1
Glen Park Montessori Preschool,Private,-2,-1,PK,Independent / Private,CDC043,3,4,CDC,384000740,"649 CHENERY ST, SAN FRANCISCO, CA 94131",8,06075,SAN FRANCISCO,"CA
(37.734295, -122.432915)",7,63,2,7,5
Stratford School - San Francisco,Private,-2,8,PK-8,Independent / Private,IND328,3,13,IND,38684786135651,"301 DE MONTFORT AVE, SAN FRANCISCO, CA 94112",7,06075,SAN FRANCISCO,"CA
(37.723126, -122.461632)",24,28861,9,8,4
Wu Yee Child Development Center - Bayview,Private,-2,-1,PK,Independent / Private,CDC156,3,4,CDC,384002433,"1601 LANE ST, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.731804, -122.38958)",1,58,10,3,8
Wu Yee Child Development Center - South East,Private,-2,-1,PK,Independent / Private,CDC166,3,4,CDC,384002516,"1300 PHELPS ST, SAN FRANCISCO, CA 94124",10,06075,SAN FRANCISCO,"CA
(37.737419, -122.393837)",1,58,10,3,8
Economic Opportunity Council Sf - Chinatown Childcare,Private,-2,-1,PK,Independent / Private,CDC026,3,4,CDC,380504308,"715 CHESTNUT ST, SAN FRANCISCO, CA 94134",3,06075,SAN FRANCISCO,"CA
(37.803215, -122.41523)",32,308,5,1,10
Lone Mountain Childrens Center,Private,-2,-1,PK,Independent / Private,CDC083,3,4,CDC,384000944,"1806 BELLES ST, SAN FRANCISCO, CA 94129",2,06075,SAN FRANCISCO,"CA
(37.788681, -122.473633)",30,61,11,,1
My City School,Private,6,8,6-8,Independent / Private,IND278,11,13,IND,,"199 MUSEUM WAY, SAN FRANCISCO, CA 94114",8,06075,SAN FRANCISCO,"CA
(37.764423, -122.438148)",3,28862,15,5,5
Sunnyside Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS111,5,10,PS,38684786041610,"250 FOERSTER ST, San Francisco, CA 94112",7,06075,SAN FRANCISCO,"CA
(37.730293, -122.448257)",40,28861,9,7,4
Economic Opportunity Council Sf - Cleo Wallace Childcare,Private,-2,-1,PK,Independent / Private,CDC027,3,4,CDC,380504451,"65 TURNER TER, SAN FRANCISCO, CA 94107",10,06075,SAN FRANCISCO,"CA
(37.755669, -122.394699)",29,28856,10,3,8
Little People Preschool ,Private,-2,0,PK-K,Independent / Private,IND266,3,5,IND,384001910,"3595 TARAVAL ST, SAN FRANCISCO, CA 94116",4,06075,SAN FRANCISCO,"CA
(37.741543, -122.504295)",35,29491,1,8,3
Mercy High School,Private,9,12,9-12,Independent / Private,IND273,14,17,IND,38684786939672,"3250 19TH AVE, SAN FRANCISCO, CA 94132",7,06075,SAN FRANCISCO,"CA
(37.7295, -122.473587)",40,64,9,8,4
Saint Anne Elementary School,Private,0,8,K-8,Independent / Private,IND288,5,13,IND,38684786981658,"1320 14TH AVE, SAN FRANCISCO, CA 94122",5,06075,SAN FRANCISCO,"CA
(37.763023, -122.471283)",12,56,1,8,11
Zion Lutheran School,Private,0,8,K-8,Independent / Private,IND340,5,13,IND,38684786980890,"495 09TH AVE, SAN FRANCISCO, CA 94118",1,06075,SAN FRANCISCO,"CA
(37.77924, -122.467636)",11,54,11,6,2
Our Victorian Schoolhouse,Private,-2,-1,PK,Independent / Private,CDC117,3,4,CDC,384001973,"823 DIVISIDERO ST, SAN FRANCISCO, CA 94117",5,06075,SAN FRANCISCO,"CA
(37.777241, -122.438637)",41,29492,15,5,11
Nihonmachi Little Friends - Bush St,Private,-2,-1,PK,Independent / Private,CDC113,3,4,CDC,380504390,"2031 BUSH ST, SAN FRANCISCO, CA 94115",5,06075,SAN FRANCISCO,"CA
(37.78709, -122.430588)",27,29490,13,9,11
"Revere, Paul Revere School / Preschool",SFUSD,-2,8,PK-8,USD PreK-8,PS094,3,13,PS,38684786041487,"555 TOMPKINS AVE, San Francisco, CA 94110",9,06075,SAN FRANCISCO,"CA
(37.737614, -122.413116)",2,28859,10,7,7
